Category,Menu Key,Display Name,Purpose,Reason,SuperAdmin,Admin,Faculty,Student,Notes
Core,enter_results,Enter Results,Faculty workflow for scoped result entry correction import and publish actions,Provides controlled result-processing path with approval and data-quality safeguards,Add Edit View Deactivate override,Add Edit View Deactivate,Add Edit View Deactivate,No Access,Managed through Sidebar Settings with role access limited to SuperAdmin Admin and Faculty
Core,results,Results,Review and consume published results with transcript-related visibility,Gives users a consistent view of official results and changes,Add Edit View Deactivate override,Add Edit View Deactivate,Add Edit View scoped,View,Student is view only
Core,quizzes,Quizzes,Create attempt and evaluate quiz activities,Supports frequent assessment cycles and immediate performance feedback,Add Edit View Deactivate override,View,Add Edit View Deactivate,View Attempt,Student attempts only
Core,fyp,FYP,Manage final year project milestones meetings and grading support,Ensures capstone workflows are trackable and academically governed,Add Edit View Deactivate override,View,Add Edit View Deactivate,Add Edit View own project,Policy and role dependent
Core,analytics,Analytics,View performance attendance and finance trends with filters,Enables data-driven decisions for operations and academic planning,View override,View,View,No Access,Analytics dashboards
Core,ai_chat,AI Chat,Role-aware AI assistant entry point for contextual help,Improves productivity by reducing support dependency for routine tasks,View override,View,View,View,Use view interaction
Core,student_lifecycle,Student Lifecycle,Manage progression graduation activation and student-state transitions,Centralizes critical student state changes with governance checks,Add Edit View Deactivate override,Add Edit View Deactivate,View,No Access,Admin-owned workflow
Core,payments,Payments,Track edit and confirm payment receipt lifecycle,Supports finance accuracy and student account transparency,Add Edit View Deactivate override,Add Edit View Deactivate,View,View,Student own records only
Core,enrollments,Enrollments,Manage roster enrollment drops and status updates by offering,Controls who is academically active in each teaching context,Add Edit View Deactivate override,Add Edit View Deactivate,Add Edit View scoped,View,Student is mostly view
Core,report_center,Report Center,Run filter and export assigned reports by role and scope,Provides governed reporting surface without exposing unauthorized data,View Run Export override,View Run Export,View Run Export,View Run Export assigned,Scoped report-center activation
Settings,system_settings,System Settings,Top-level governance container for platform controls,Separates high-risk configuration from daily operational menus,Add Edit View Deactivate,No Access,No Access,No Access,SuperAdmin only (verified 2026-05-27)
Settings,report_settings,Report Settings,Configure report definitions visibility and access rules,Ensures reporting output stays aligned with governance and role policy,Add Edit View Deactivate,No Access,No Access,No Access,SuperAdmin only (verified 2026-05-27)
Settings,sidebar_settings,Sidebar Settings,Control sidebar visibility and menu status by role,Allows feature rollout and role UX tuning without redeployment,Add Edit View Deactivate,No Access,No Access,No Access,SuperAdmin only (verified 2026-05-27)
Settings,dashboard_settings,Dashboard Settings,Manage dashboard branding and identity configuration,Keeps tenant-facing experience consistent with institutional identity,Add Edit View Deactivate,No Access,No Access,No Access,SuperAdmin only (verified 2026-05-27)
Settings,license_update,License Update,Upload validate and activate license boundaries,Enforces licensed capability limits and institution-mode constraints,Add Edit View Deactivate,No Access,No Access,No Access,SuperAdmin only (verified 2026-05-27)
Settings,institution_policy,Institution Policy,Configure School College University policy behavior and terminology,Ensures workflows vocabulary and grading behavior match institution type,Add Edit View Deactivate,No Access,No Access,No Access,SuperAdmin only (verified 2026-05-27)
Settings,module_composition,Module Composition,Control module availability and dashboard composition behavior,Supports product packaging and controlled feature exposure by context,Add Edit View Deactivate,No Access,No Access,No Access,SuperAdmin only (verified 2026-05-27)
Settings,result_calculation,Result Calculation,Configure institution-scoped GPA rules and weighted components,Keeps grading logic compliant with institution-specific academic policy,Add Edit View Deactivate override,Add Edit View scoped,No Access,No Access,Scoped governance by institution mode
Settings,theme_settings,Theme Settings,Manage visual theme and appearance preferences,Improves usability and branding alignment per user or scope,Add Edit View Deactivate override,Edit View own scope,Edit View own scope,Edit View own scope,Personalization
Settings,two_factor_settings,Two-Factor Authentication,Setup verify disable and manage MFA TOTP via authenticator app,Adds RFC 6238 TOTP security layer with QR enrollment and recovery codes,Add Edit View Deactivate override,Edit View own scope,Edit View own scope,Edit View own scope,Otp.NET 1.4.1 compatible with Google Auth Microsoft Auth Authy
Settings,admin_users,Admin Users,Manage admin account lifecycle and privilege assignment,Protects governance by centralizing privileged-user control,Add Edit View Deactivate,No Access,No Access,No Access,SuperAdmin governance (verified 2026-05-27)
Settings,tenant_management,Tenant Management,Manage tenant entities status and boundaries,Required for multi-tenant isolation and operational control,Add Edit View Deactivate,No Access,No Access,No Access,SuperAdmin governance (verified 2026-05-27)
Settings,campus_management,Campus Management,Manage campuses and tenant-campus mappings,Prevents cross-campus data leakage and supports scoped operations,Add Edit View Deactivate,No Access,No Access,No Access,SuperAdmin governance (verified 2026-05-27)
Feature,helpdesk,Helpdesk,Ticket management for academic technical and administrative support,Provides accountable issue tracking and resolution workflow,Add Edit View Deactivate override,Add Edit View Deactivate,Add Edit View assigned,Add View own tickets,Module and role dependent
Feature,prerequisites,Prerequisites,Define prerequisite relationships for course eligibility,Prevents invalid enrollment progression and enforces curriculum rules,Add Edit View Deactivate override,Add Edit View Deactivate,View,No Access,Module and role dependent
Feature,gradebook,Gradebook,Manage component scores and aggregate performance by offering,Creates a transparent grading workspace before final publication,Add Edit View Deactivate override,Add Edit View Deactivate,Add Edit View Deactivate,View,Module and role dependent
Feature,rubric_manage,Rubric Management,Create and manage assignment rubrics criteria and level scoring matrices,Standardizes marking quality and supports fair repeatable evaluation across submissions,Add Edit View Deactivate override,Add Edit View Deactivate,Add Edit View Deactivate,No Access,Module and role dependent
Feature,degree_audit,Degree Audit,Evaluate progress against degree requirements and deficits,Helps advisors and students identify missing requirements early,Add Edit View Deactivate override,View Run,View Run assigned,View,University oriented feature
Feature,graduation_eligibility,Graduation Eligibility,Assess graduation readiness using configured rules,Reduces manual review load and improves decision consistency,Add Edit View Deactivate override,View Approve,View assigned,No Access,University oriented feature
Feature,degree_rules,Degree Rules,Configure mandatory credit and rule constraints for programs,Defines the compliance engine used by audit and graduation modules,Add Edit View Deactivate override,Add Edit View Deactivate,View,No Access,University oriented feature
Feature,graduation_apply,Graduation Apply,Student-facing graduation application entry workflow,Provides traceable and structured request initiation for graduation,View Approve Reject override,View Approve Reject,View,Add View own application,University oriented feature
Feature,graduation_applications,Graduation Applications,Operational queue for review approve reject graduation requests,Supports stage-based processing and institutional accountability,View Approve Reject override,View Approve Reject,View Approve Reject stage based,No Access,Module and role dependent
Feature,grading_config,Grading Config,Maintain grading profiles pass thresholds and ranges,Ensures result interpretation remains consistent with policy,Add Edit View Deactivate override,Add Edit View Deactivate,View,No Access,Module and role dependent
Feature,lms_manage,LMS Manage,Manage LMS integration and learning content governance settings,Aligns learning delivery with central academic governance,Add Edit View Deactivate override,Add Edit View Deactivate,Add Edit View Deactivate,No Access,Module and role dependent
Feature,course_material,Course Material,Upload organize and access course resources with scoped controls,Supports structured content delivery for teaching and self-study,Add Edit View Deactivate override,Add Edit View Deactivate,Add Edit View Deactivate,View Download,Module and role dependent
Feature,discussion,Discussion,Threaded discussions for course collaboration and Q&A,Encourages engagement and supports asynchronous learning interaction,Add Edit View Deactivate override,Add Edit View Deactivate,Add Edit View Deactivate,Add Edit View own posts,Module and role dependent
Feature,announcements,Announcements,Create and consume scoped institutional and course announcements,Ensures important updates reach the right audience quickly,Add Edit View Deactivate override,Add Edit View Deactivate,Add Edit View assigned,View,Module and scope dependent
Feature,study_plan,Study Plan,Plan future course path with advisor review workflow,Improves student progression planning and reduces registration errors,Add Edit View Deactivate override,Add Edit View Deactivate,Add Edit View advisor scope,Add Edit View own plan,Module and role dependent
Feature,library_config,Library Config,Configure library integration endpoints and behaviors,Keeps external library workflows stable and supportable,Add Edit View Deactivate override,Add Edit View Deactivate,View,No Access,Module and role dependent
Feature,accreditation,Accreditation,Manage accreditation templates mappings and evidence structures,Supports compliance reporting and quality assurance obligations,Add Edit View Deactivate override,Add Edit View Deactivate,Add Edit View assigned,View,Module and role dependent
Feature,user_import,User Import,Bulk onboarding with validation mapping and scoped controls,Reduces manual account creation time while preserving data quality,Add Edit View Deactivate override,Add Edit View Deactivate,View,No Access,Tenant campus scope enforced
Feature,programs,Programs,Manage academic programs activation and scope metadata,Maintains clean program lifecycle control for departments and reports,Add Edit View Deactivate override,Add Edit View Deactivate,View,No Access,Tenant campus scope enforced
